title,link,authors,publication,citation_id
Genome evolution: let's stick together.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:gsN89kCJA0AC,M Nei,"Heredity 90 (6), 2003",VxOmZDgAAAAJ:gsN89kCJA0AC
Molecular origin of species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:uc_IGeMz5qoC,"M Nei, J Zhang","Science 282 (5393), 1428-1429, 1998",VxOmZDgAAAAJ:uc_IGeMz5qoC
Neutral mutation hypothesis test,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9DLIHnF0jcYC,"TS Whittam, M Nei","Nature 354 (6349), 115-116, 1991",VxOmZDgAAAAJ:9DLIHnF0jcYC
Evolutionary relationships of human populations at the molecular level,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:KUbvn5osdkgC,"M Nei, T Ota","Evolution of life, 415-428, 1991",VxOmZDgAAAAJ:KUbvn5osdkgC
Columbia University Press; New York: 1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:wSy_KLzO7YEC,M Nei,"Molecular evolutionary genetics.[Google Scholar], 0",VxOmZDgAAAAJ:wSy_KLzO7YEC
Measurement of domestic animal diversity (MoDAD): original working group report,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:In6cVmBjs0IC,"JSF Barker, WG Hill, D Bradley, M Nei, R Fries, RK Wayne","FAO, Rome, 1998",VxOmZDgAAAAJ:In6cVmBjs0IC
"MEGA: Molecular evolutionary genetics analysis, version 1.0",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WzTVkKNmPSkC,"S Kumer, K Tamura, M Nei","Pennsylvania State Univ., University Park, 1993",VxOmZDgAAAAJ:WzTVkKNmPSkC
A CASE OF HIGH RATE OF SPONTANEOUS MUTATION AFFECTING VIABILITY IN DROSOPHILA MELANOGASTER,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:-FonjvnnhkoC,"MG Kidwell, JF Kidwell, M Nei","Genetics 75 (1), 133-153, 1973",VxOmZDgAAAAJ:-FonjvnnhkoC
Relative roles of mutation and selection in the maintenance of genetic variability,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:b1wdh0AR-JQC,M Nei,"Philosophical Transactions of the Royal Society of London. B, Biological …, 1988",VxOmZDgAAAAJ:b1wdh0AR-JQC
Relative contributions of germline gene variation and somatic mutation to immunoglobulin diversity in the mouse.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:vbGhcppDl1QC,"T Gojobori, M Nei","Molecular biology and evolution 3 (2), 156-167, 1986",VxOmZDgAAAAJ:vbGhcppDl1QC
Standard error of immunological dating of evolutionary time,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:EYYDruWGBe4C,M Nei,"Journal of Molecular Evolution 9 (3), 203-211, 1977",VxOmZDgAAAAJ:EYYDruWGBe4C
Utility and efficiency of linked marker genes for genetic counseling. II. Identification of linkage phase by offspring phenotypes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tuHXwOkdijsC,"A Chakravarti, M Nei","American journal of human genetics 34 (4), 531, 1982",VxOmZDgAAAAJ:tuHXwOkdijsC
"Evolutionary relationships of Europeans, Asians, and Africans at the molecular level",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:TIZ-Mc8IlK0C,"M NEi, G Livshits","Population biology of genes and molecules. Baifukan, Tokyo, 251-265, 1990",VxOmZDgAAAAJ:TIZ-Mc8IlK0C
Empirical relationship between the number of nucleotide substitutions and interspecific identity of amino acid sequences in some proteins,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:URolC5Kub84C,"M Nei, R Chakraborty","Journal of Molecular Evolution 7 (4), 313-323, 1976",VxOmZDgAAAAJ:URolC5Kub84C
Evolutionary change of linkage intensity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BwyfMAYsbu0C,M Nei,"Nature 218 (5147), 1160-1161, 1968",VxOmZDgAAAAJ:BwyfMAYsbu0C
LI WH 1979,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:I858iXPj1OkC,M Nei,"Mathematical model for studying genetic variation in terms of restriction …, 0",VxOmZDgAAAAJ:I858iXPj1OkC
"Efficiencies of the NJp, maximum likelihood, and Bayesian methods of phylogenetic construction for compositional and noncompositional genes",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:DyXnQzXoVgIC,"R Yoshida, M Nei","Molecular biology and evolution 33 (6), 1618-1624, 2016",VxOmZDgAAAAJ:DyXnQzXoVgIC
Genomic organization and evolution of immunoglobulin kappa gene enhancers and kappa deleting element in mammals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:86PQX7AUzd4C,"S Das, N Nikolaidis, M Nei","Molecular immunology 46 (15), 3171-3177, 2009",VxOmZDgAAAAJ:86PQX7AUzd4C
On the maximum-likelihood method for molecular phylogeny,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ce2CqMG-AY4C,"N Saitou, M Nei","Japanese journal of genetics 62 (6), 547-548, 1987",VxOmZDgAAAAJ:ce2CqMG-AY4C
Effects of random fluctuation of selection intensity on genetic variability in a finite population,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tYavs44e6CUC,"M NEI, S YOKOYAMA","The Japanese Journal of Genetics 51 (5), 355-369, 1976",VxOmZDgAAAAJ:tYavs44e6CUC
A simple method for predicting the functional differentiation of duplicate genes and its application to MIKC-type MADS-box genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:VaXvl8Fpj5cC,"J Nam, K Kaufmann, G Theißen, M Nei","Nucleic Acids Research 33 (2), e12-e12, 2005",VxOmZDgAAAAJ:VaXvl8Fpj5cC
Positive selection in the evolution of mammalian interleukin-2 genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:g3aElNc5_aQC,"J Zhang, M Nei","Molecular Biology and Evolution 17 (9), 1413-1416, 2000",VxOmZDgAAAAJ:g3aElNc5_aQC
Extinction time of deleterious mutant genes in large populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kuK5TVdYjLIC,M Nei,"Theoretical Population Biology 2 (4), 419-425, 1971",VxOmZDgAAAAJ:kuK5TVdYjLIC
Evolutionary distance: estimation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eAlLMO4JVmQC,"M Nei, J Zhang","Encyclopedia of life sciences. Chichester (United Kingdom): John Wiley …, 2006",VxOmZDgAAAAJ:eAlLMO4JVmQC
Interlocus variation of genetic distance and the neutral mutation theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ILKRHgRFtOwC,"M Nei, Y Tateno","Proceedings of the National Academy of Sciences 72 (7), 2758-2760, 1975",VxOmZDgAAAAJ:ILKRHgRFtOwC
Effective size of human populations.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:MLfJN-KU85MC,M NEi,"American journal of human genetics 22 (6), 694, 1970",VxOmZDgAAAAJ:MLfJN-KU85MC
Stochastic theory of population genetics and evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kz9GbA2Ns4gC,M Nei,"Vito Volterra Symposium on Mathematical Models in Biology, 17-47, 1980",VxOmZDgAAAAJ:kz9GbA2Ns4gC
Ultraconserved coding regions outside the homeobox of mammalian Hox genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:M7yex6snE4oC,"Z Lin, H Ma, M Nei","BMC evolutionary biology 8 (1), 1-13, 2008",VxOmZDgAAAAJ:M7yex6snE4oC
Problems arising in phylogenetic inference from restriction-site data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:FPJr55Dyh1AC,"M Nei, F Tajima",,VxOmZDgAAAAJ:FPJr55Dyh1AC
Genetic relationships between Indians and their neighboring populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Dip1O2bNi0gC,"AK Roychoudhury, M Nei","Human heredity 35 (4), 201-206, 1985",VxOmZDgAAAAJ:Dip1O2bNi0gC
Electrophoretically silent alleles in a finite population,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:lmc2jWPfTJgC,"M Nei, R Chakraborty","Journal of Molecular Evolution 8 (4), 381-385, 1976",VxOmZDgAAAAJ:lmc2jWPfTJgC
"F. TAJIMA, AND Y. TATENO. 1983. Accuracy of estimated phylogenetic trees from molecular data",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:N4u4nq0IxgcC,M Nei,"J. Mol. Evol 19, 153-170, 0",VxOmZDgAAAAJ:N4u4nq0IxgcC
Evolutionary changes of the target sites of two microRNAs encoded in the Hox gene cluster of Drosophila and other insect species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:YohjEiUPhakC,"S Miura, M Nozawa, M Nei","Genome Biology and Evolution 3, 129-139, 2011",VxOmZDgAAAAJ:YohjEiUPhakC
Genomic drift and copy number variation of chemosensory receptor genes in humans and mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:rmuvC79q63oC,"M Nozawa, M Nei","Cytogenetic and Genome Research 123 (1-4), 263-269, 2008",VxOmZDgAAAAJ:rmuvC79q63oC
Phylogenetic inference: maximum parsimony methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:wUn16MOA3RoC,M Nei,"Molecular evolution and phylogenetics, 2000",VxOmZDgAAAAJ:wUn16MOA3RoC
DNA polymorphism within and between populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:k_7cPK9k7w8C,M Nei,"Molecular evolutionary genetics, 254-286, 1987",VxOmZDgAAAAJ:k_7cPK9k7w8C
Total number of individuals affected by a single deleterious mutation in large populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:LI9QrySNdTsC,M Nei,"Theoretical Population Biology 2 (4), 426-430, 1971",VxOmZDgAAAAJ:LI9QrySNdTsC
Genetic structure of human populations III. Differentiation of ABO blood group gene frequencies in small areas of Japan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:i2xiXl-TujoC,"M Nei, Y Imaizumi","Heredity 21 (3), 461-472, 1966",VxOmZDgAAAAJ:i2xiXl-TujoC
Proportion of informative families for genetic counseling with linked marker genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:e_rmSamDkqQC,M Nei,"Japanese journal of human genetics 24 (3), 131-142, 1979",VxOmZDgAAAAJ:e_rmSamDkqQC
Goodman et al.'s method for augmenting the number of nucleotide substitutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:k8Z6L05lTy4C,"Y Tateno, M Nei","Journal of Molecular Evolution 11 (1), 67-73, 1978",VxOmZDgAAAAJ:k8Z6L05lTy4C
The evaluation of forensic DNA evidence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qsWQJNntlusC,"JF Crow, MA Berger, SS Diamond, DH Kaye, HH Kazazian, AG Motulsky, ...","National Re-899 search Council 900, 1996",VxOmZDgAAAAJ:qsWQJNntlusC
Genetic polymorphism and neomutationism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ruyezt5ZtCIC,M Nei,"Evolutionary dynamics of genetic diversity, 214-241, 1984",VxOmZDgAAAAJ:ruyezt5ZtCIC
A note on positive identification of paternity by using genetic markers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:SpbeaW3--B0C,"PP Majumder, M Nei","Human Heredity 33 (1), 29-35, 1983",VxOmZDgAAAAJ:SpbeaW3--B0C
Evolution of the sex-lethal gene in insects and origin of the sex-determination system in Drosophila,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Dem6FJhTUoYC,"Z Zhang, J Klein, M Nei","Journal of molecular evolution 78 (1), 50-65, 2014",VxOmZDgAAAAJ:Dem6FJhTUoYC
Response to Yang et al.: Problems with Bayesian methods of detecting positive selection at the DNA sequence level,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:HbR8gkJAVGIC,"M Nozawa, Y Suzuki, M Nei","Proceedings of the National Academy of Sciences 106 (36), E96-E96, 2009",VxOmZDgAAAAJ:HbR8gkJAVGIC
Evolutionary change of DNA sequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qCpRzq7zkD8C,M Nei,"Molecular evolution and phylogenetics, 2000",VxOmZDgAAAAJ:qCpRzq7zkD8C
Reconstruction of phylogenetic trees from microsatellite (STR) loci,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:AYInfyleIOsC,"M Nei, N Takezaki","Anim Genet 27 (SUPPL 2), 1-2, 1996",VxOmZDgAAAAJ:AYInfyleIOsC
Inter-RNA homology and possible roles of small RNAs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:XoXfffV-tXoC,"T Gojobori, M Nei","Journal of Molecular Evolution 17 (4), 245-250, 1981",VxOmZDgAAAAJ:XoXfffV-tXoC
Nonrandom amino acid substitution and estimation of the number of nucleotide substitutions in evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:oNZyr7d5Mn4C,"M Nei, Y Tateno","Journal of Molecular Evolution 11 (4), 333-347, 1978",VxOmZDgAAAAJ:oNZyr7d5Mn4C
Population genetics and ecology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:yJjnfzR0HrkC,"M Nei, S Karlin, E Nevo","Academic Press, 1976",VxOmZDgAAAAJ:yJjnfzR0HrkC
Genomic drift and evolution of microsatellite DNAs in human populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:LO7wyVUgiFcC,"N Takezaki, M Nei","Molecular biology and evolution 26 (8), 1835-1840, 2009",VxOmZDgAAAAJ:LO7wyVUgiFcC
Heterozygous effects and frequency changes of lethal genes in populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:xtoqd-5pKcoC,M Nei,"Genetics 63 (3), 669, 1969",VxOmZDgAAAAJ:xtoqd-5pKcoC
Effects of restricted population size and increase in mutation rate on the genetic variation of quantitative characters,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_axFR9aDTf0C,"M Nei, Y Imaizumi","Genetics 54 (3), 763, 1966",VxOmZDgAAAAJ:_axFR9aDTf0C
Effects of linkage and epistasis on the equilibrium frequencies of lethal genes. II. Numerical solutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:w1MjKQ0l0TYC,M NEI,"The Japanese Journal of Genetics 39 (1), 7-25, 1964",VxOmZDgAAAAJ:w1MjKQ0l0TYC
Evolutionary change of amino acid sequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4e5Qn2KL_jwC,M Nei,"Molecular Evolutionary Genetics, 39-63, 1987",VxOmZDgAAAAJ:4e5Qn2KL_jwC
Classification and measurement of DNA polymorphism.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:q3CdL3IzO_QC,M Nei,"Human population genetics: The Pittsburgh Symposium, 307-330, 1984",VxOmZDgAAAAJ:q3CdL3IzO_QC
Protein polymorphism and the SAS-CFF model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:2ywjKiB__4kC,M Nei,"Genetics 94 (4), 1085, 1980",VxOmZDgAAAAJ:2ywjKiB__4kC
Genetic Parameters and Environments II. Heritability and Genetic Correlation in F2 of Some Agronomic Characters in Rice Plant,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:S16KYo8Pm5AC,"M NEI, K SYAKUDO","The Japanese Journal of Genetics 32 (8), 235-241, 1957",VxOmZDgAAAAJ:S16KYo8Pm5AC
Chakraborty R. 1975,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Kqc1aDSOPooC,"M Nei, T Maruyama","The bottleneck effect and genetic variability in, 0",VxOmZDgAAAAJ:Kqc1aDSOPooC
Random fluctuation of selection coefficients and the extent of nucleotide variation in human populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:PaBasH6fAo0C,"S Miura, Z Zhang, M Nei","Proceedings of the National Academy of Sciences 110 (26), 10676-10681, 2013",VxOmZDgAAAAJ:PaBasH6fAo0C
Evolutionary change of nucleotide sequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:X0DADzN9RKwC,M Nei,"Molecular evolutionary genetics, 64-110, 1987",VxOmZDgAAAAJ:X0DADzN9RKwC
Evolutionary molecular genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:i_7YvbSbtFEC,M Nei,"University of Columbia Press, New York, 1987",VxOmZDgAAAAJ:i_7YvbSbtFEC
Polymorphism and evolution of the Rh blood groups,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:a9-T7VOCCH8C,"M Nei, WH Li, F Tajima, P Narain","Japanese journal of human genetics 26 (4), 263-278, 1981",VxOmZDgAAAAJ:a9-T7VOCCH8C
Estimation of average heterozygosity and genetic distance from a small number of indivisuals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Og1tA8FjbJAC,M Nei,"Genetics 23, 341-369, 1978",VxOmZDgAAAAJ:Og1tA8FjbJAC
Genetic effects of X rays on quantitative characters in a heterogeneous population of Drosophila melanogaster,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:5qfkUJPXOUwC,"I Tobari, M Nei","Genetics 52 (5), 1007, 1965",VxOmZDgAAAAJ:5qfkUJPXOUwC
The neighbor-joining method,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=200&pagesize=100&citation_for_view=VxOmZDgAAAAJ:FsLZdJ3BAzkC,"N Saitou, M Nei","a new method for reconstructing phylogenetic trees 1987, 4, 2000",VxOmZDgAAAAJ:FsLZdJ3BAzkC
The emergence and dispersal of Mongoloids,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4fGpz3EwCPoC,"AK Roychoudhury, M Nei","J Indian Anthropol Soc 32, 1-49, 1997",VxOmZDgAAAAJ:4fGpz3EwCPoC
Gene differences between human races,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Ri6SYOTghG4C,M Nei,"The American Naturalist 117 (1), 88-89, 1981",VxOmZDgAAAAJ:Ri6SYOTghG4C
Nei’s unbiased measures of genetic Identity and genetic distance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hsZV8lGYWTMC,M Nei,"Genetics 89, 583-590, 1978",VxOmZDgAAAAJ:hsZV8lGYWTMC
The cost of natural selection and the extent of enzyme polymorphism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ClCfbGk0d_YC,M Nei,"Trends in Biochemical Sciences 1 (11), N247-N248, 1976",VxOmZDgAAAAJ:ClCfbGk0d_YC
MATHEMATICAL STUDIES ON THE BREEDlNG BEHAVIOR OF PARTIALLY ALLOGAMOUS PLANTS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:8dzOF9BpDQoC,M NEI,"Japanese Journal of Breeding 3 (2), 1-5, 1953",VxOmZDgAAAAJ:8dzOF9BpDQoC
Is positive selection responsible for the evolution of a duplicate UV-sensitive opsin gene in Heliconius butterflies?,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:wMgC3FpKEyYC,"M Nozawa, Y Suzuki, M Nei","Proceedings of the National Academy of Sciences 107 (23), E96-E96, 2010",VxOmZDgAAAAJ:wMgC3FpKEyYC
DNA polymorphism and adaptive evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:HtEfBTGE9r8C,M Nei,"Plant population genetics. Breeding and genetic resources. Sinauer …, 1990",VxOmZDgAAAAJ:HtEfBTGE9r8C
Effect of linkage on the genetic load manifested under inbreeding,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Ug5p-4gJ2f0C,M Nei,"Genetics 51 (4), 679, 1965",VxOmZDgAAAAJ:Ug5p-4gJ2f0C
Effects of linkage and epistasis on the equilibrium frequencies of lethal genes. I. Linkage equilibrium,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:GtLg2Ama23sC,M NEI,"The Japanese Journal of Genetics 39 (1), 1-6, 1964",VxOmZDgAAAAJ:GtLg2Ama23sC
"2% ROYCHOUDHURY, AK.(1974)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:X4-KO54GjGYC,M Nei,"Sampling variantes of heterozygosity and genet, ic distarwe. Genet& 76, 379-390, 0",VxOmZDgAAAAJ:X4-KO54GjGYC
Molecular phylogeny and genetic diversity analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NXb4pA-qfm4C,M Nei,"Diversity and adaptation in oak species proceedings. Pennsylvania State …, 1997",VxOmZDgAAAAJ:NXb4pA-qfm4C
"An integrated global protocol to establish the genetic relationships among the breeds of each domestic animal species, Report of a Working Group",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:yTLRzDEmwhEC,"JSF Barker, DG Bradley, R Fries, WG Hill, M Nei, RK Wayne","Animal Production and Health Division, FAO 554, 1993",VxOmZDgAAAAJ:yTLRzDEmwhEC
